id,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season,Team
26,Iker Almena,es ESP,FW,20-002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
27,Ricard Artero,es ESP,MF,21-091,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
28,Santiago Bueno,uy URU,DF,25-179,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
29,Toni Fuidias,es ESP,GK,23-021,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
30,Borja García,es ESP,"FW,MF",33-186,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
31,Carles Garrido,es ESP,FW,19-215,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
32,Eric Monjonell,es ESP,DF,22-142,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
33,Manu Vallejo,es ESP,"FW,MF",27-082,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024,Girona
34,Squad Total,,,26.8,33,374,3060.0,34.0,73.0,55.0,128.0,68.0,5.0,6.0,69.0,1.0,60.2,55.6,46.2,101.8,779.0,1429.0,1417.0,2.15,1.62,3.76,2.0,3.62,1.77,1.36,3.13,1.63,2.99,,2024,Girona
35,Opponent Total,,,28.2,33,374,3060.0,34.0,42.0,28.0,70.0,38.0,4.0,6.0,89.0,3.0,47.9,43.2,32.8,75.9,544.0,1153.0,1143.0,1.24,0.82,2.06,1.12,1.94,1.41,0.96,2.37,1.27,2.23,,2024,Girona
0,Jan Oblak,si SVN,GK,31-120,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024,Atletico Madrid
1,Koke,es ESP,MF,32-119,31,28,2153.0,23.9,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,2.6,3.0,22.0,185.0,25.0,0.0,0.17,0.17,0.0,0.17,0.02,0.11,0.12,0.02,0.12,Matches,2024,Atletico Madrid
2,Axel Witsel,be BEL,DF,35-115,32,27,2513.0,27.9,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.3,1.3,17.0,80.0,8.0,0.07,0.0,0.07,0.07,0.07,0.04,0.01,0.05,0.04,0.05,Matches,2024,Atletico Madrid
3,Antoine Griezmann,fr FRA,"FW,MF",33-046,29,27,2304.0,25.6,13.0,6.0,19.0,9.0,4.0,4.0,5.0,0.0,10.8,7.8,5.6,13.4,38.0,105.0,171.0,0.51,0.23,0.74,0.35,0.59,0.42,0.22,0.64,0.31,0.52,Matches,2024,Atletico Madrid
4,Mario Hermoso,es ESP,DF,28-323,27,26,2266.0,25.2,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.4,1.4,0.8,2.2,33.0,162.0,56.0,0.0,0.04,0.04,0.0,0.04,0.06,0.03,0.09,0.06,0.09,Matches,2024,Atletico Madrid
5,Marcos Llorente,es ESP,"MF,DF",29-097,33,25,2209.0,24.5,6.0,3.0,9.0,6.0,0.0,0.0,5.0,0.0,3.5,3.5,4.4,7.9,58.0,90.0,149.0,0.24,0.12,0.37,0.24,0.37,0.14,0.18,0.32,0.14,0.32,Matches,2024,Atletico Madrid
